feature,kw_statistic,kw_pvalue,mean_NC,mean_PC,mean_G25,mean_G50,kw_qvalue,verified_name,id_system,verification_status,source_type,source_note
PWY-7374,6.97,0.0728601464712563,1.22369648182942e-05,0.000128852662410906,0.000128707160389239,6.7786732449883e-05,0.283734224239027,"1,4-dihydroxy-6-naphthoate biosynthesis I",MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc pages for PWY-7374.
PWY0-1586,6.97,0.0728601464712563,0.0131448082742667,0.00834949848018416,0.0127491663108436,0.0120632630780079,0.283734224239027,,,,,
PWY0-1061,6.92894736842105,0.0741972753248901,0.00328700371979434,0.00273355225480194,0.00114632958790483,0.00289727353731942,0.284993359553148,superpathway of L-alanine biosynthesis,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages for PWY0-1061.
HISDEG-PWY,6.91578947368421,0.0746308372793748,0.00044001040652044,0.00207451543242988,0.00079388129843145,0.000811636614774961,0.284993359553148,,,,,
FASYN-ELONG-PWY,6.89578947368422,0.0752945419066342,0.0128666002013205,0.00902154194733991,0.0163438416045907,0.013542102387482,0.284993359553148,,,,,
PWY-5022,6.83263157894737,0.0774280831165764,0.000846942677615747,0.00246001384482009,0.000714346133911783,0.00126838903146965,0.28797889794367,,,,,
PWY0-781,6.77736842105263,0.0793427018817336,0.00173381949228055,0.00365152080440437,0.00184922414302902,0.00251619475881415,0.28797889794367,,,,,
BRANCHED-CHAIN-AA-SYN-PWY,6.76473684210526,0.0797866997622518,0.00328328343016357,0.00541071317357841,0.00269445808049721,0.00333991093152223,0.28797889794367,,,,,
PWY-7663,6.76315789473684,0.0798423677250194,0.0131201164353167,0.0103848436088648,0.0168737781264236,0.0139789709521788,0.28797889794367,,,,,
HEME-BIOSYNTHESIS-II,6.73315789473683,0.0809072040194994,0.000693501589623836,0.00199012653554667,0.000691574429469951,0.00113700557886581,0.28797889794367,,,,,
PWY-6700,6.7221052631579,0.0813029537250977,0.00112616771995142,0.00292644122281465,0.00126765246880042,0.00175957615895899,0.28797889794367,,,,,
ARG+POLYAMINE-SYN,6.71210526315789,0.0816626207110365,0.000214660344653813,0.00147356599454379,0.000682099642545332,0.000753318977733051,0.28797889794367,,,,,
PWY-6897,6.70263157894736,0.0820047724724798,0.0032284093321021,0.00422214887621912,0.0017416040233725,0.00279574801287285,0.28797889794367,,,,,
POLYAMSYN-PWY,6.68526315789474,0.0826356430536331,0.000117023043324989,0.00138012215058428,0.000587581544180898,0.000484028160133421,0.28797889794367,,,,,
REDCITCYC,6.67,0.0831939038503935,0.00128885485005622,0.00359698436273836,0.00139481304378596,0.00215291804126869,0.28797889794367,,,,,
PWY-6703,6.61947368421053,0.0850679838680318,0.000405244220647896,0.00195857660799644,0.000788310225116935,0.000700706857911787,0.289517087954226,,,,,
PWY0-1296,6.61947368421053,0.0850679838680318,0.0022721713835659,0.00443519929985454,0.00167834018606193,0.00241487152572668,0.289517087954226,,,,,
DAPLYSINESYN-PWY,6.57526315789474,0.086741102470751,0.005473340936053,0.00535308507446892,0.00268507502396744,0.00430862783656919,0.290781296101336,L-lysine biosynthesis I,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc pages for DAPLYSINESYN-PWY.
PWY-6545,6.5463157894737,0.0878537110895491,0.000568553083466137,0.00291502527072491,0.00170290060435986,0.00153680481900499,0.290781296101336,,,,,
PWY-4984,6.46947368421053,0.0908741917971164,0.000597067965448648,0.00209986916101125,0.000721468486208955,0.000947043019094648,0.290781296101336,,,,,
PWY-6892,6.46157894736842,0.0911901129117398,0.000447261704248817,0.00256404860730937,0.00118780996151348,0.00108009912980097,0.290781296101336,,,,,
PWY0-1297,6.43947368421053,0.0920803195137945,0.00279501331743715,0.0043528677949401,0.00183508692488426,0.00291792708304814,0.290781296101336,,,,,
ARGSYNBSUB-PWY,6.43157894736842,0.0924002702863632,0.00377475833761303,0.00491289667875456,0.00243056221161003,0.00348627946569326,0.290781296101336,,,,,
PWY-5918,6.40421052631579,0.0935177257386115,0.000792109781801902,0.00225629004403609,0.000896508758730271,0.0013601667441782,0.290781296101336,,,,,
PWY-6891,6.39842105263158,0.0937557689576721,0.00025676944070463,0.00173849215560116,0.000685327578052235,0.000647544009867721,0.290781296101336,,,,,
PWY-3781,6.36842105263158,0.0949986183172209,0.00196238598300541,0.00541903899703614,0.00228009505189082,0.00294235103666741,0.290781296101336,,,,,
PWY-7332,6.36338461538462,0.0952088147468842,3.12029389524899e-05,0.000366163136881305,0,0.000171056662996076,0.290781296101336,,,,,
PWY-7196,6.35684210526317,0.0954825343848077,0.0076198852929846,0.00702247452328656,0.00702394232519829,0.00862073783077428,0.290781296101336,,,,,
METH-ACETATE-PWY,6.3512323943662,0.0957178300142576,7.45733951068331e-05,0.00155368369405641,0.000710461008683143,0.000577008587201471,0.290781296101336,,,,,
CENTFERM-PWY,6.33526315789474,0.0963907014056292,0.000242351392259576,0.00131389012445811,0.000637900263010549,0.000534701384140293,0.290781296101336,,,,,
PWY-6590,6.33526315789474,0.0963907014056292,0.000309333378008104,0.00158142637078546,0.000799430065392089,0.000675821628109488,0.290781296101336,,,,,
PWY-5384,6.31578947368421,0.0972173807104463,0.00273854816591505,0.00119565291093828,0.000416822757266887,0.00108698732166663,0.290781296101336,sucrose degradation IV (sucrose phosphorylase),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from BioCyc-linked pathway pages for PWY-5384.
PWY-6749,6.30384615384616,0.0977277498826567,1.11074785662255e-06,0.000116705382179458,6.16997924946646e-05,6.15261244482243e-06,0.290781296101336,,,,,
PWY-5747,6.29368421052632,0.0981640199023483,0.000239058743048926,0.000300413299048729,0.000154896806899536,0.000511709746222766,0.290781296101336,,,,,
PWY-6728,6.28906249999999,0.0983630557182297,4.86468775144613e-05,0.000180508968987169,0,0.000115574875573268,0.290781296101336,methylaspartate cycle,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-derived pathway pages for PWY-6728.
PWY-5705,6.21052631578948,0.101805012199538,0.000269764016336701,0.000876650674165061,0.000222903968072092,0.000420256681124033,0.293633420787582,,,,,
PWY-6404,6.21,0.101828463663413,0,0.000102637132518024,7.61260170724359e-05,0,0.293633420787582,,,,,
PWY-6948,6.21,0.101828463663413,0,1.37291069541408e-05,1.44999979533645e-05,0,0.293633420787582,,,,,
PWY0-41,6.20105263157895,0.102227931681603,0.000294775846758263,0.000958146944152828,0.000242910106365321,0.000452954675159856,0.293633420787582,,,,,
PWY-7377,6.16421052631578,0.10388867989172,0.000175147988830588,0.00126830349013268,0.000477394871160212,0.000428605563628066,0.296302220817934,,,,,
PWY-6969,6.14578947368422,0.104728716602147,0.00156651139652867,0.0035524337103491,0.00156017895563582,0.00224232200125542,0.296609302264821,,,,,
PWY-7094,6.05263157894737,0.109077473552678,0.000359304272399996,0.00147254932675758,0.000600089212680189,0.000562524129223251,0.299352761877111,,,,,
PWY-4722,6.04965517241379,0.109219226459605,0,6.72754492155963e-05,0,3.00699182136179e-05,0.299352761877111,,,,,
PWY-5183,6.04965517241379,0.109219226459605,0,2.66260432956875e-05,0,6.55677518573197e-06,0.299352761877111,,,,,
PYRIDNUCSYN-PWY,6.04894736842105,0.109252961916928,0.000896481039884878,0.00247958888388143,0.00121606228940749,0.00164693725994059,0.299352761877111,,,,,
PWY-5104,5.97789473684212,0.112690661021488,0.00138976610549106,0.00431029326240372,0.00257384635241369,0.00254786138639739,0.299352761877111,,,,,
PWY-6628,5.9642105263158,0.113364503209044,0.000596520204755936,0.00261897650892928,0.00109307528906657,0.00113581711936147,0.299352761877111,,,,,
PWY-6630,5.9642105263158,0.113364503209044,0.00059940808494239,0.00261305114186608,0.00108202402097433,0.00113355321012539,0.299352761877111,,,,,
NONOXIPENT-PWY,5.94315789473684,0.114408705229174,0.00478432426345513,0.00774562426825605,0.00400080976721362,0.00486996587778539,0.299352761877111,,,,,
LPSSYN-PWY,5.91111111111114,0.116015864608834,0,2.40210417034379e-05,0,0,0.299352761877111,,,,,
PWY-1361,5.91111111111114,0.116015864608834,0,8.27005772498464e-06,0,0,0.299352761877111,,,,,
PWY-1501,5.91111111111114,0.116015864608834,0,4.01397748345374e-06,0,0,0.299352761877111,,,,,
PWY-6957,5.91111111111114,0.116015864608834,0,1.32114338595194e-05,0,0,0.299352761877111,,,,,
PWY-7046,5.91111111111114,0.116015864608834,0,2.74924500401125e-06,0,0,0.299352761877111,,,,,
FAO-PWY,5.91052631578947,0.116045391641251,0.000368460849659514,0.00167594121748456,0.000611938393820704,0.000581433820002339,0.299352761877111,,,,,
P125-PWY,5.88526315789474,0.117327829902123,0.000689191231130072,0.000886167701326117,0.000394982418255384,0.00107438568146985,0.300745386774429,,,,,
PYRIDNUCSAL-PWY,5.82210526315789,0.120593349791634,0.00102177824145187,0.00214233778999913,0.00112381488994517,0.00143866404637859,0.307171740035294,,,,,
